document_id,external_id,cnj_raw,cnj_normalized,tribunal_sigla,provenance,changed_after_justification
87555862-ef76-4446-8944-200fa77f70b3,NT-306987624-SP,1011654-78.2024.8.26.0566,1011654-78.2024.8.26.0566,TJSP,consenso,false
90600784-8990-4349-877c-ec4672d7c2a3,NATJUS-FEDERAL-0473-2023,5004464-77.2023.4.02.5110,5004464-77.2023.4.02.5110,TRF2,consenso,false
4d28c2e0-12d4-430a-b051-82c2f4a08d28,NT-996-DF,1061884-95.2021.4.01.3400,1061884-95.2021.4.01.3400,TRF1,consenso,false
b04b4cd1-2f38-495d-a10b-9c0b09c59e7e,NT-1145-DF,1085435-07.2021.4.01.3400,1085435-07.2021.4.01.3400,TRF1,consenso,false
9870a6fa-a7c0-40cd-b7c1-ef25ecc16d5e,NT-1163-DF,1089531-65.2021.4.01.3400,1089531-65.2021.4.01.3400,TRF1,auto_corrigido,false
85cd55ca-c267-4f01-88da-4d9474fa281b,NT-749011560-SP,5021351-78.2025.4.03.6100,5021351-78.2025.4.03.6100,TRF3,consenso,false
71f10dc0-1f2f-430c-b2bf-4e220a2b6566,NATJUS-FEDERAL-1663-2025,5003517-40.2025.4.02.5114,5003517-40.2025.4.02.5114,TRF2,consenso,false
28f2feb8-667b-4b5a-9a59-3cac1e8740eb,NT-1212-DF,1002879-11.2022.4.01.3400,1002879-11.2022.4.01.3400,TRF1,consenso,false
8e6e1c56-c9fd-48c0-bd67-31cfdbee4775,NT-1164-DF,1001293-36.2022.4.01.3400,1001293-36.2022.4.01.3400,TRF1,consenso,false
507645e3-8312-4a71-bf07-04ad62fd38c8,NT-1146-DF,1085421-23.2021.4.01.3400,1085421-23.2021.4.01.3400,TRF1,consenso,false
3a3724f3-79b8-495f-8d1e-25729a6c57e6,NT-4570-DF,1095123-51.2025.4.01.3400,1095123-51.2025.4.01.3400,TRF1,consenso,false
5d2d2b2e-74d0-4a5c-a930-700c441c1a1e,NT-981-DF,1057173-47.2021.4.01.3400,1057173-47.2021.4.01.3400,TRF1,consenso,false
df27d9e8-6e12-4688-abf2-a1749706724d,NT-997-DF,1062029-54.2021.4.01.3400,1062029-54.2021.4.01.3400,TRF1,consenso,false
faebce77-20ee-4dd8-842f-7652b1b85e4b,NT-946-DF,1059340-37.2021.4.01.3400,1059340-37.2021.4.01.3400,TRF1,consenso,false
dfcb9515-3a66-48c1-bcf4-8edb657ecb83,NT-1250-DF,1008746-82.2022.4.01.3400,1008746-82.2022.4.01.3400,TRF1,consenso,false
