campo,tipo,classe,docs_com_2_humanos,pares,concordancia_pares,alpha,alpha_ic_lo,alpha_ic_hi,piso_docs,piso_bruto,piso_loo,piso_ic_lo,piso_ic_hi,celulas_llm,erros_llm,celulas_llm_loo,erros_llm_loo,veredito_foi_llm,alvo_por_veredito,alvo_por_consenso,sem_alvo,vereditos_ambiguo,celulas_revisores_discordando
q1_numero_processo,text,ok,17,17,0.8823529411764706,,,,17,0.058823529411764705,0.11764705882352941,0.0,0.29411764705882354,17,1,17,1,0,3,20,0,0,0
q3_medicamento,text,instrumento ambíguo,17,17,0.6470588235294118,,,,17,0.17647058823529413,0.35294117647058826,0.11764705882352941,0.5882352941176471,17,4,17,4,0,7,16,0,0,0
q4_doenca_paciente,text,instrumento ambíguo,17,17,0.29411764705882354,,,,16,0.5,0.75,0.5,0.9375,16,4,12,4,4,13,9,0,1,3
q5_data_nascimento_paciente,date,ok,17,17,0.9411764705882353,0.9394495412844037,0.803960396039604,1.0,17,0.029411764705882353,0.058823529411764705,0.0,0.17647058823529413,17,0,17,0,0,1,22,0,0,0
q6_idade_paciente,text,ok,17,17,0.8235294117647058,,,,17,0.17647058823529413,0.23529411764705882,0.058823529411764705,0.4117647058823529,17,3,16,3,1,6,17,0,0,0
q7_decisao_e_liminar,single,ok,17,17,0.8235294117647058,0.8190127970749543,0.6206896551724138,1.0,17,0.08823529411764706,0.17647058823529413,0.0,0.35294117647058826,17,1,17,1,0,3,20,0,0,1
q8_houve_liminar,single,ok,14,14,0.9285714285714286,0.9260273972602739,0.7624633431085044,1.0,14,0.10714285714285714,0.14285714285714285,0.0,0.35714285714285715,14,0,13,0,1,2,21,0,0,2
q9_registro_anvisa,single,ok,17,17,1.0,1.0,1.0,1.0,17,0.0,0.0,0.0,0.0,17,0,17,0,0,0,23,0,0,0
q10_off_label,single,instrumento ambíguo,17,17,0.29411764705882354,0.28776978417266186,0.07129455909943716,0.49230769230769234,17,0.4117647058823529,0.7647058823529411,0.5882352941176471,0.9411764705882353,17,1,16,1,1,13,10,0,0,4
q12_uso_conforme_incorporacao,single,dados insuficientes,0,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0
q13_pericia_medica,single,ok,17,17,0.8235294117647058,0.8190127970749543,0.61328125,1.0,17,0.08823529411764706,0.17647058823529413,0.0,0.35294117647058826,17,2,17,2,0,4,19,0,0,0
q14_negativa_administrativa,single,ok,17,17,0.7647058823529411,0.7591240875912408,0.50561797752809,0.935672514619883,17,0.17647058823529413,0.29411764705882354,0.11764705882352941,0.5294117647058824,17,0,16,0,1,5,18,0,0,2
q16_possibilidade_substituicao,single,ok,17,17,0.8823529411764706,0.8791208791208791,0.6833013435700576,1.0,17,0.058823529411764705,0.11764705882352941,0.0,0.29411764705882354,17,3,17,3,0,5,18,0,0,1
q18_imprescindibilidade_clinica,single,ok,17,17,0.7058823529411765,0.6994535519125683,0.44277673545966234,0.9330628803245437,17,0.14705882352941177,0.29411764705882354,0.058823529411764705,0.5294117647058824,17,1,17,1,0,6,17,0,0,0
q19_incapacidade_financeira,single,ok,17,17,0.8823529411764706,0.8791208791208791,0.6857142857142857,1.0,17,0.058823529411764705,0.11764705882352941,0.0,0.29411764705882354,17,1,17,1,0,3,20,0,0,1
q20_questionou_merito_conitec,single,ok,17,17,0.7058823529411765,0.6994535519125683,0.44485981308411215,0.8754716981132076,17,0.2647058823529412,0.35294117647058826,0.11764705882352941,0.5882352941176471,17,1,14,1,3,7,16,0,0,0
q21_questionou_merito_negativa,single,instrumento ambíguo,17,17,0.5882352941176471,0.5807622504537204,0.31379962192816635,0.8062622309197651,17,0.3235294117647059,0.5294117647058824,0.29411764705882354,0.7647058823529411,17,3,15,3,2,10,13,0,0,1
q22_nota_tecnica_natjus,single,ok,17,17,0.8235294117647058,0.8190127970749543,0.6177606177606177,1.0,17,0.14705882352941177,0.23529411764705882,0.058823529411764705,0.47058823529411764,17,4,16,4,1,6,17,0,0,1
q23_natjus_converge_juiz,single,ok,11,11,1.0,1.0,1.0,1.0,11,0.0,0.0,0.0,0.0,10,0,10,0,0,0,18,2,0,0
q24_natjus_converge_conitec,single,ok,11,11,0.9090909090909091,0.9049773755656109,0.6865671641791045,1.0,11,0.045454545454545456,0.09090909090909091,0.0,0.2727272727272727,10,2,10,2,0,3,15,2,0,1
q25_citacao_natjus_decisao,single,instrumento ambíguo,11,11,0.45454545454545453,0.4424778761061947,0.1209302325581395,0.6956521739130435,11,0.2727272727272727,0.5454545454545454,0.2727272727272727,0.8181818181818182,10,4,10,4,0,9,9,2,0,0
q26_avaliacao_conitec,single,ok,17,17,0.7058823529411765,0.6994535519125683,0.44692737430167595,0.8745247148288974,17,0.20588235294117646,0.35294117647058826,0.11764705882352941,0.5882352941176471,17,2,16,2,1,6,17,0,0,0
q27_decisao_concede,single,ok,17,17,1.0,1.0,1.0,1.0,17,0.0,0.0,0.0,0.0,17,0,17,0,0,0,23,0,0,0
q28_fontes_evidencia,multi,instrumento ambíguo,17,17,0.11764705882352941,0.0883977900552485,-0.07265774378585088,0.23106796116504846,14,0.8214285714285714,0.8214285714285714,0.6428571428571429,0.9642857142857143,14,13,14,13,0,14,6,3,0,1
q29_ressarcimento_liminar,single,ok,17,17,0.8823529411764706,0.8791208791208791,0.6833013435700576,1.0,17,0.11764705882352941,0.17647058823529413,0.0,0.35294117647058826,17,1,16,1,1,4,19,0,0,1
